	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172
congestion_control_0	0	2	0	0	0	0	0	1.5	2.5	2	0	2	0	2	1.5	2	0	0	0	2	2	3	0	1	0	2	2	2	0	2	0	0	0	3	0	3	3	2	2	3	0	2	0	0	3	2	2	0	0	3	0	0	3	0	0	0	0	3	1	2	0	0	3	0	3	0	0	0	3	2	0	3	0	0	2	3	2	2	0	2	2	0	2	0	0	3	0	0	0	3	3	2	2.5	2	3	0	0	0	0	1	1	0	0	2	0	3	3	3	0	1	3	3	2	0	3	0	1	0	0	0	1	2	0	3	3	2	0	0	1	1	2	0	2	0	0	0	0	0	0	0	1	0	1	3	1	0	1	3	1	2	1	0	3	0	3	0	0	0	0	0	2	1	0	0	3	2	2	0	0	3	3	0	1
congestion_control_1	0	2	0	0	0	0	0	0	3	1.5	0	1	0	1	1.5	2	0	0	0	2	3	2	0	3	0	2	2	3	0	2	0	0	0	3	0	3	3	2	3	3	0	0	0	0	0	3	1	0	0	3	0	0	2	0	0	0	0	3	1	2	0	0	2	0	2	0	0	0	2	2	0	3	0	0	1	3	3	2	0	3	3	0	3	0	0	3	0	0	0	2	2	2	3	2	1	0	0	0	0	2	2	0	0	2.5	0	2	3	3	0	1	3	3	3	0	3	0	2	0	0	0	3	3	0	3	3	2	0	0	2	0	3	0	2	0	0	0	0	0	0	0	3	0	0	3	3	0	2	1	3	3	3	0	3	0	3	0	0	0	0	0	3	3	0	0	3	3	0	0	0	0	3	0	3
congestion_control_2	0	1	0	0	0	0	0	0	1.5	2	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	3	2	0	1	0	0	0	3	0	2	3	1	1	1	0	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	2	0	2	0	0	2	0	2	0	0	0	2	2	0	2	0	0	0	1	2	1	0	2	0	0	1	0	0	2	0	0	0	0	2	1	2	2	1	0	0	0	0	1	0	0	0	3	0	1	2	0	0	0	1	3	2	0	0	0	1	0	0	0	3	3	0	2	2	1	0	0	2	0	2	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	3	2	2	0	1	0	1	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	1	0	0
scheduling_0	0	3	3	3	3	3	2.5	3	3	3	3	3	2	3	3	3	3	2	0	2	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	0	3	3	3	3	1	3	3	3	3	0	3	3	2	3	1	3	3	3	0	3	3	3	0	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	1	2	2	3	3	3	2.5	3	3	3	2	3	2	2	2	0	3	2	3	3	2.5	3	2	3	3	2	3	3	2	3	3	3	3	3	3	3	3	0	3	3	3	2	1	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	1	2	2	3	3
scheduling_1	0	2	2	3	3	3	1	2	3	3	2	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	2	3	0	2	1	3	3	0	3	3	3	3	0	2	2	3	3	0	3	2	2	1	1	3	2	0	2	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	2	2	3	2	2	2	2	3	0	3	1	3	2	2	2	2	2	1	2	3	1	2	2	0	3	3	3	2	1	2	0	2	3	2	3	2	0	2	2	2	2	2	3	2	2	0	2	2	3	3	1	2	3	2	2	3	2	3	3	3	3	2	1	3	3	3	3	0	3	3	2	3	3	3	3	3	3	3	0	2	2	3	1	2	0	3	3	0	1	0	2	1	1	2
scheduling_2	0	3	3	3	2	2	3	2	3	3	3	2	3	2	2	3	3	3	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	0	3	3	2	3	3	2	3	0	2	2	3	2.5	3	3	0	3	0	3	3	3	0	3	3	3	3	2	0	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	1	3	2	3	3	3	3	3	0	3	3	3	3	3	3	2	3	3	3	1	3	1	3	3	2	3	3	3	2	3	0	3	2	1	3	1	1	1	1	3	3	1	3	3	3	1	3	3	3	3	2	0	1	3	2	3	3	3	3	3	1	3	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3	2	3
processes_0	1.5	0	3	2	0	2	2	2	3	2	2	3	3	3	2	3	2	2	1	2	0	0	2	0	3	2	2	3	1	3	3	3	0	2	3	3	2	2	3	0	2	0	2	2	1	2	2	3	2	0	3	1	2	2	2	1	1	0	0	2	1	1	0	2	0	0	0	1	1	3	3	0	2	1	2	3	2	2	0	3	2	2	0	2	2	0	2	0	2	0	3	0	2	0	0	2	2	2	2	2	1	2	2	3	2	2	2	0	2	2	2	3	0	3	0	1	0	3	3	3	3	0	3	3	0	3	3	2	2	2	1	1	3	1	2	2	2	2	2	0	2	2	2	3	2	2	0	1	0	3	3	2	0	2	0	2	3	2	2	2	0	0	2	1	0	3	2	2	1	1	3	2	2
processes_1	2	0	3	3	3	3	1	2	3	3	3	2	2	3	3	2	3	0	2	2	0	0	2	0	3	3	1	3	3	3	3	3	0	3	3	3	3	3	3	0	3	0	3	3	0	3	3	3	3	0	3	2	1	2	3	3	3	0	0	3	3	3	0	2	0	0	3	1	3	2	3	0	3	3	3	3	3	3	3	3	3	3	0	3	3	0	3	0	2	0	3	0	2	0	0	3	3	3	3	3	3	3	2	3	3	3	3	0	3	2	3	3	0	3	0	0	0	3	3	3	3	0	3	3	0	3	3	2	3	3	3	3	3	3	3	2	3	3	3	0	3	3	2	3	2	3	0	3	0	3	3	0	0	1	0	1	3	3	2	2	0	0	2	2	0	3	3	3	3	0	3	2	2
processes_2	2	0	2	2	2	3	1	1	2	2	2	1	1	0	1	2	2	1	1	3	0	0	1	0	2	3	0	3	3	2	2	3	0	3	3	3	3	2	1	0	2	0	3	3	0	2	3	2	2	0	2	1	3	1	2	2	3	0	0	3	3	3	0	0	0	0	3	1	3	2	3	0	3	0	2	2	2	1	2	2	1	1	0	2	1	0	2	0	2	0	1	0	2	0	0	0	2	2	2	2	3	1	1	3	2	2	2	0	1	1	2	3	0	1	0	1	0	2	3	3	3	0	3	3	0	3	2	2	2	2	3	2	3	2	2	0	2	2	2	0	0	2	0	0	3	1	0	2	0	3	0	3	0	2	0	2	0	1	0	3	0	0	3	2	0	1	0	0	1	0	2	1	1
sum	28.5	46.5	49.5	50	29	46	37	28	50	44.5	43	40	40.5	41	40	45	49	23	17	34	38	46	34	35	50	45	41	49	30	38	50	38	49	49	45	47	46	31	39	44	44	33	39.5	46	25	42	42	47.5	44	51	40	28.5	45	28	30.5	45	41	46	15	42	45	44	46	41	47	38	44	35	43	35	50	51	39	25	33	50	42	44	39	48	42	34	43	37	41	48	43	5	37	29	46	43	45.5	42.5	38.5	33	45	42	48	40	36	40	35.5	51.5	43.5	41	46	43.5	45.5	18.5	45	52	46	40	40	14	45	40	46	45	51	49	51	52	49	40	40	40	39	28	42	40	47	43	47	18	39	48	45	48	35	45	33	47	43	45	31	40	40	49	41	43	46	39	36	30	38	35	46	42	49	37	39	22	50	44	36	40	29	27	44	40	42
